bootstrap,treedepth,Phylum,Class,Order,Family,Genus,Species,Phylum_scaledcumsum,Class_scaledcumsum,Order_scaledcumsum,Family_scaledcumsum,Genus_scaledcumsum,Species_scaledcumsum
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.2828282828282828,6.414731014814379e-6,4.7687495721149276e-6,4.720945861347303e-6,8.063998492124913e-6,8.805510263720784e-7,9.887740565206471e-8,0.12073433717230583,0.05486052012324517,0.1799523055908071,0.184592031404751,0.048275033262968614,0.03832939030438557
1,0.5656565656565656,7.27114605703072e-6,3.697728856777438e-6,5.519412737575724e-6,8.263082167558888e-6,7.872972510036824e-7,4.450490248553152e-8,0.2575876202875655,0.09739983263899454,0.3903404516964613,0.3737412635708575,0.09143755291459717,0.055581519510011994
1,0.8484848484848485,5.475929976461735e-6,3.8017788550614995e-6,5.1422613138729645e-6,7.354162795125685e-6,5.957881691331934e-7,4.477311743578127e-9,0.36065239020281636,0.14113615433678717,0.5863523964548715,0.5420845303707224,0.12410084308312713,0.05731712966485258
1,1.1313131313131313,3.332805988520704e-6,8.458421831836205e-7,2.5475548337539067e-8,1.3076865190697617e-6,2.3281161887211965e-8,9.76754616077713e-8,0.4233805265843202,0.1508668691520453,0.5873234695817771,0.572018627113353,0.1253772016709267,0.09518059166040016
1,1.4141414141414141,3.0736325906666195e-6,1.1511928492691226e-6,2.613739961132566e-7,1.66043118932091e-6,1.7962893616996212e-7,1.7239217720010913e-7,0.48123065197357157,0.1641103908589433,0.5972864843257419,0.610027360193335,0.13522511804247878,0.16200765899444083
1,1.696969696969697,2.702979308599751e-6,6.361127318221804e-7,7.747355423859403e-8,1.5997085119900945e-6,1.443332917627771e-7,9.871429429431089e-8,0.5321045568123844,0.1714283417802592,0.6002396096351625,0.6466460976809597,0.14313799787808482,0.20027381990022725
1,1.97979797979798,3.885601441711017e-6,9.059806336253473e-7,1.590827308772802e-7,1.7729163539481618e-6,3.1729231353416765e-8,7.35909976290472e-8,0.6052370877785813,0.18185089973400614,0.6063035012877728,0.687229715300134,0.14487751058446985,0.2288010456340667
1,2.2626262626262625,1.288411432653902e-6,2.1224843549383365e-7,6.579020646046985e-7,3.8178982086911617e-7,3.379918622758993e-8,1.6481110476362915e-8,0.6294868185884072,0.18429264245721916,0.6313813134160355,0.6959692207294456,0.14673050580056846,0.23518987543731934
1,2.5454545454545454,6.768075042629107e-7,1.361669398347587e-7,1.2340604582661285e-7,1.8749850594357298e-7,3.180269015912174e-7,1.7639224580978663e-7,0.6422252958888134,0.18585913049144245,0.6360852865439981,0.7002612267524229,0.16416590567295192,0.30356755172973177
1,2.8282828282828283,1.2697885032331158e-6,1.3331002757244192e-7,4.479915107769017e-7,5.597325486439431e-7,2.593258465743986e-7,1.1814154854405956e-7,0.6661245167497992,0.1873927521127231,0.6531617596951655,0.7130739980219668,0.1783830986514275,0.34936460208160064
1,3.111111111111111,2.750381402627511e-7,1.8021092462738864e-6,1.2835716556303112e-7,2.425933754990339e-7,1.6027961180498096e-9,3.2952806650055066e-8,0.671301124698759,0.2081245286663928,0.658054458861933,0.7186271741581521,0.178470969806642,0.3621386122751877
1,3.393939393939394,3.9395564954691764e-7,1.8303068445302273e-6,2.8491040038325366e-7,2.830080269022872e-7,7.881861496805698e-9,7.639181565100017e-9,0.6787159288602252,0.2291806952688952,0.6689146307303592,0.7251054772779705,0.17890308232997876,0.36509990732418124
1,3.676767676767677,1.3403367304931635e-10,1.471393332619364e-6,1.7674245156307222e-7,3.7636629401927024e-7,3.0680970597440904e-8,1.128051019261278e-8,0.6787184515640825,0.24610785873442684,0.6756516729648299,0.733720833398528,0.18058512554130057,0.3694727473593124
1,3.95959595959596,2.2754179584971723e-7,1.7502659696022604e-6,2.3112640457068068e-7,4.904494514401669e-7,3.4017206829162205e-8,6.116671658062955e-8,0.6830011109363098,0.26624322126381444,0.6844617145554228,0.7449476535214606,0.18245007344552025,0.39318375532918753
1,4.242424242424242,4.210192150466696e-8,4.211811460930193e-6,1.703459657775852e-7,2.1261480376288944e-7,1.3138230853249055e-7,7.537595547724152e-10,0.6837935288217687,0.3146966289996289,0.6909549365050219,0.7498145937337687,0.18965293293306523,0.39347594689691734
1,4.525252525252525,2.3984417996114615e-7,3.649497753110964e-6,1.0678151696197347e-9,6.479104583401174e-7,1.3525358388832842e-8,2.74613283224312e-8,0.6883077365142454,0.3566810825542927,0.6909956393233472,0.764645835057807,0.1903944426316055,0.4041212097312923
1,4.808080808080808,2.0860163485458827e-8,3.0135706408085383e-6,1.6826863546981485e-7,2.806807556376967e-7,5.826318316692891e-10,3.1008543122101884e-8,0.688700354381761,0.3913497205867101,0.6974096779081427,0.7710708648876092,0.19042638464315453,0.4161415347414337
1,5.090909090909091,3.962247837607791e-7,1.6918119912778806e-6,4.244723728064059e-8,1.042718369648199e-6,5.35906904408634e-8,2.2039036984278226e-7,0.6961578668679619,0.41081261843627886,0.6990276753262346,0.7949396072025265,0.19336442262861586,0.5015748898069698
1,5.373737373737374,2.2055269743859185e-7,1.8205902123646922e-6,1.5863616342759457e-7,1.8774080617900424e-7,3.1829585078746447e-9,1.0889076529352337e-8,0.7003089814938622,0.4317570032212657,0.7050745447878405,0.7992371596914055,0.19353892407514234,0.5057959923085519
