bootstrap,treedepth,Phylum,Class,Order,Family,Genus,Species,Phylum_scaledcumsum,Class_scaledcumsum,Order_scaledcumsum,Family_scaledcumsum,Genus_scaledcumsum,Species_scaledcumsum
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.2828282828282828,0.0018532683434546726,0.0014015910875802007,0.000664909083034515,0.0003781371402101219,0.0001641754114488636,8.216611535605267e-8,0.0005127704716827338,0.0005556956262495729,0.0005175705340319564,0.0004035622208750723,0.0004039959157698784,4.962411044530854e-5
1,0.5656565656565656,0.0018385286299779091,0.0013937537250590104,0.000663027448576714,0.00038002960589528234,0.00016384189766238677,4.974169592886213e-8,0.0010214626943311916,0.0011082839353130207,0.0010336763887926772,0.0008091441525207101,0.0008071711349055867,7.966553812890388e-5
1,0.8484848484848485,0.0018561109932357933,0.0014095240486368121,0.0006453960013566018,0.0003915916973254996,0.00016168123906068477,1.6067143665532413e-7,0.001535019682912162,0.0016671247811643948,0.0015360577843960307,0.0012270655843089318,0.0012050294966461633,0.00017670282756920193
1,1.1313131313131313,0.0945947035115533,0.04663998969382077,0.01617514522179142,0.00785406097461716,0.0026077441520582223,4.828142027957227e-6,0.027707900102316947,0.02015870803311506,0.014126919849747694,0.00960921574296159,0.007622056123879257,0.003092652452335491
1,1.4141414141414141,0.09448014744284206,0.04655774167567417,0.016166450212220518,0.00785362782066601,0.0026035599283574795,4.5055733071119874e-6,0.05384908464260382,0.03861768201381909,0.026711013650291653,0.017990903623377283,0.014028786390220973,0.005813787149317235
1,1.696969696969697,0.09445165523765797,0.04658072400094182,0.016159087500715708,0.007852192315505824,0.002614830497160048,3.4884358287579076e-6,0.07998238583370217,0.0570857679086509,0.039289376257469935,0.026371059478533042,0.020463250796069078,0.00792062308889536
1,1.97979797979798,0.09453549685933726,0.046587925114462636,0.016163808328748752,0.007855009400484003,0.00261139816015854,4.112168731307264e-6,0.10613888469503911,0.07555670886393728,0.051871413594845886,0.03475422183304921,0.026889269052046638,0.010404161642566365
1,2.2626262626262625,0.24901001660553557,0.1278408680250267,0.03992728430449233,0.01823489597224437,0.005852447691956031,8.490587528831028e-6,0.17503607603783658,0.12624239875377913,0.08295113018648874,0.0542151907077164,0.0412907250553625,0.015532040105001584
1,2.5454545454545454,0.24881184641124565,0.12780329099799448,0.03979565383199368,0.01830074150186256,0.005857342819852729,7.720435906688472e-6,0.24387843677590354,0.17691319029719574,0.11392838456835835,0.07374643241554843,0.05570422678257808,0.02019478657243833
1,2.8282828282828283,0.24891325243615747,0.1277345613841353,0.03999100921956977,0.018253049097830654,0.005809456746594055,8.891307072711463e-6,0.31274885498088245,0.22755673227677467,0.1450577051422137,0.0932267749906497,0.06999989248399642,0.025564679042922325
1,3.111111111111111,0.22662876211119642,0.1227791161926941,0.04150162880379671,0.02172617685820233,0.007092950037721035,1.2339145744499902e-5,0.3754535019657914,0.2762355648318969,0.17736290405023053,0.11641377053186693,0.08745392424618659,0.033016888856815106
1,3.393939393939394,0.22692582481077905,0.12296868407599626,0.04149025409199247,0.021742073939846063,0.007114962576550921,1.0641879369666096e-5,0.4382403415706317,0.324989556286474,0.209659248791846,0.13961773203831573,0.10496212353385768,0.039444037017557006
1,3.676767676767677,0.22672689639051824,0.12291734246304709,0.04143094761500976,0.02180404534023217,0.0071281256121052405,1.1855728321408243e-5,0.5009721407814306,0.37372319208239063,0.24190942889870656,0.1628878317610653,0.12250271386325755,0.04660428755491914
1,3.95959595959596,0.22636858880143929,0.12277574883303255,0.04141668564091716,0.021887431485893782,0.007156542611311434,1.159900911529288e-5,0.5636048018657361,0.42240068956407206,0.2741485073711696,0.1862469243241233,0.14011323154363176,0.05360949288681553
1,4.242424242424242,0.18111399220509594,0.0896971270791449,0.046748737858509304,0.024199744000168333,0.007595019092644317,1.2012419850437883e-5,0.6137162212612842,0.45796334521072535,0.31053809782212843,0.2120738040320762,0.15880273362280434,0.060864377053974045
1,4.525252525252525,0.18147674674994518,0.08956037178237652,0.04682712083713375,0.024252034760118557,0.007646063375031098,1.4371081364206173e-5,0.6639280091866919,0.4934717808206261,0.34698870220888817,0.23795649041166422,0.17761784331535627,0.06954377154336375
1,4.808080808080808,0.1813295523078382,0.08983569243664569,0.04683072758239082,0.024300041255189198,0.007667311973797719,1.0376356270491716e-5,0.7140990707036575,0.5290893741476023,0.383442114114926,0.26389041113378836,0.19648524066195938,0.07581055739974074
1,5.090909090909091,0.1179465449341548,0.08353612790014753,0.0408814860668546,0.02569872375926252,0.007872498141937079,1.2993849165754412e-5,0.7467330417596221,0.56220934852478,0.41526458896979807,0.2913170585881485,0.21585755146161387,0.08365817442918058
1,5.373737373737374,0.11796328860870409,0.08344198175358775,0.04076433923883316,0.025658348056681435,0.007823141773348807,1.6477539262926832e-5,0.7793716455294226,0.5952919963219481,0.44699587579929007,0.3187006155695814,0.23510840819484677,0.09360976122024524
1,5.656565656565657,0.11789125734668093,0.08348245913695018,0.04080972514003112,0.025751243499017917,0.007846573775093957,1.5423458903873755e-5,0.8119903193714639,0.628390692383903,0.4787624913763055,0.3461833140714628,0.25441692540792754,0.10292473765277933
1,5.9393939393939394,0.11786196433627671,0.08363580650122637,0.04084893453018579,0.025702057290769187,0.007897592336426673,1.5799324986076613e-5,0.8446008882939909,0.6615501868202057,0.5105596278553799,0.373613519196401,0.27385098694110455,0.11246671787994404
