BioSample	Strain_ID	Seq_ID	Donor_ID	Phylum	Class	Order	Family	Genus	Species	NCBI_link	Info

SAMN19731999	MSK.18.89	MSK18_89	FC0018	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis
SAMN19732018	MSK.19.4	MSK19_4	FC0019	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis
SAMN19732025	MSK.19.54	MSK19_54	FC0019	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis
SAMN19732028	MSK.19.63	MSK19_63	FC0019	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis
SAMN19732031	MSK.19.71	MSK19_71	FC0019	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis
SAMN19732035	MSK.19.84	TM533	FC0019	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis
SAMN19732040	MSK.19.91	MSK19_91	FC0019	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis
SAMN19732047	MSK.20.3	MSK20_3	FC0020	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis
SAMN19732048	MSK.20.30	MSK20_30	FC0020	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis
SAMN19732049	MSK.20.32	MSK20_32	FC0020	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis
SAMN19732059	MSK.20.79	MSK20_79	FC0020	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis
